EG	ECK	Gene	Syn	Protein	GI	SP	b#	
EG14407	ECK4084	yjdP	None	putative periplasmic protein	48994996	Q6BEX5	b4487
EG14409	ECK4276	yjhV'	None	pseudogene, KpLE2 phage-like element	1790738	Q47719	b4286
EG14411	ECK2359	torI	None	response regulator inhibitor for tor operon	87082092	Q2EES9	b4501
EG14413	ECK1070	yceQ	None	uncharacterized protein	87081829	P62066	b1085
EG14414	ECK4469	croE	ymfT	e14 prophage; putative DNA-binding transcriptional regulator	87081841	P75975	b1146
EG14415	ECK4470	ymgG	None	UPF0757 family protein	87081850	Q7DFV3	b1172
EG14417	ECK4472	yoaI	None	uncharacterized protein	87081975	P76239	b1788
EG14418	ECK4473	insX'	ykgN	pseudogene, IS3 family transposase family	87081710	Q79E92	b4505
EG14419	ECK4474	ybfQ'	None	pseudogene, H repeat-associated protein	87081774	Q2EEQ8	b4514
EG14420	ECK1323	ymjC'	None	pseudogene	Null	Q2EER5	b4525
EG14421	ECK1431	hicA	yncN	mRNA interferase toxin of the HicAB toxin-antitoxin system	87081911	P76106	b4532
EG14422	ECK1542	ynfO	None	uncharacterized protein, Qin prophage	87081930	Q2EES0	b4533
EG14423	ECK1719	yniD	None	uncharacterized protein	87081961	Q2EES1	b4535
EG14424	ECK1825	yobH	None	uncharacterized protein	87081982	Q2MB16	b4536
EG14425	ECK2000	yoeF'	None	pseudogene, CP4-44 putative prophage remnant	87082021	Q2EES3	b4538
EG14426	ECK2120	yohO	None	putative membrane protein	87082053	Q2EES6	b4542
EG14427	ECK2237	ypaA'	None	pseudogene, C-terminal fragment, Transposase_31 family	87082070	V9HVX0	b4543
EG14428	ECK2358	ypdJ'	None	exisonase remnant	87082091	Q2EET0	b4545
EG14429	ECK3652	yicS	None	putative periplasmic protein	87082307	Q2M7X4	b4555
EG14430	ECK4298	yjhX	None	UPF0386 family protein	87082418	Q2EEU2	b4566
EG14431	ECK4422	dinQ	None	UV-inducible membrane toxin, DinQ-AgrB type I toxin-antitoxin system	145693192	A5A624	b4613
EG14432	ECK0295	ykgO	rpmJ2	RpmJ-like protein	87081713	Q2EEQ2	b4506
EG14433	ECK4446	ykgP'	None	pseudogene, oxidoreductase family	Null	Null	b4630
EG14434	ECK3413	yzgL'	None	pseudogene, periplasmic solute binding protein homology	87082264	P76692	b3427
EG14435	ECK4447	ttcC'	None	pseudogene, prophage Rac integration site ttcA duplication	Null	Null	b4638
EG14436	ECK4448	mokA'	None	pseudogene, overlapping regulatory peptide, enables hokB	Null	Null	b4647
EG14437	ECK4449	yibU'	None	pseudogene, H repeat-associated protein	Null	Null	b4652
EG14438	ECK4424	yibV'	None	pseudogene, putative cryptic Rhs immunity protein	Null	A5A625	b4615
EG14439	ECK4450	yibW'	None	pseudogene, rhsA-linked	Null	Null	b4651
EG14440	ECK4451	yoeG'	None	pseudogene, CP4-44 putative prophage remnant	Null	Null	b4640
EG14441	ECK4452	yoeH'	None	pseudogene, CP4-44 putative prophage remnant	Null	Null	b4641
EG14442	ECK4453	yjhY'	None	pseudogene, zinc finger protein family	Null	Null	b4656
EG14443	ECK4454	ykgQ'	None	pseudogene, putative dehydrogenase	Null	Null	b4631
EG14444	ECK4399	ylcI	None	DUF3950 family protein, DLP12 prophage	145693102	A5A607	b4589
EG14447	ECK4455	yjhZ'	None	pseudogene, rimK paralog, C-terminal fragment	Null	Null	b4657
EG14448	ECK4456	yicT'	erhM, rhuM(S.t.)	pseudogene	Null	Null	b4653
EG14449	ECK4403	ymgI	None	uncharacterized protein	145693115	A5A611	b4593
EG14450	ECK4404	ymgJ	None	uncharacterized protein	145693116	A5A612	b4594
EG14451	ECK4397	ykfM	None	lethality reduction protein, putative inner membrane protein	145693093	A5A605	b4586
EG14452	ECK4457	yjdQ'	None	pseudogene, P4-like integrase remnant	Null	Null	b4654
EG14454	ECK4458	ykfN'	None	pseudogene, YdiA family	Null	Null	b4626
EG14455	ECK4459	ysaC'	None	pseudogene	Null	Null	b4648
EG14456	ECK4460	ysaD'	None	pseudogene, internal sequence remnant	Null	Null	b4649
EG14459	ECK4428	yjbT	None	putative periplasmic protein	145693210	A5A628	b4620
EG14460	ECK4406	yciZ	deoL	uncharacterized protein	145693124	A5A614	b4596
EG14462	ECK4410	ydgU	None	stationary phase-induced protein	145693139	A5A617	b4601
EG14463	ECK4433	ymiA	None	uncharacterized protein	87081865	P0CB62	b4522
EG14464	ECK4434	ythA	None	uncharacterized protein	157672247	A8DYQ1	b4655
EG14465	ECK4461	uof	None	ryhB-regulated fur leader peptide	157672246	A8DYP9	b4637
EG14466	ECK4475	safA	yneN	two-component system connector membrane protein, EvgSA to PhoQP	81345794	P76136	b1500
EG14467	ECK4477	sgrT	None	inhibitor of glucose uptake	226510924	C1P5Z7	b4662
EG14468	ECK4478	azuC	IS092, isrB	acid-inducible small membrane-associated protein	226510953	C1P605	b4663
EG14469	ECK4479	ibsD	None	toxic membrane protein	226510975	C1P616	b4664
EG14470	ECK4480	ibsC	None	toxic membrane protein	226510973	C1P615	b4665
EG14471	ECK4481	ibsE	None	toxic membrane protein	226510976	C1P617	b4666
EG14472	ECK4482	ibsA	None	toxic membrane protein	226510956	C1P607	b4667
EG14473	ECK4483	ibsB	None	toxic membrane protein	226510957	C1P608	b4668
EG14474	ECK4484	ilvX	None	uncharacterized protein	226510987	C1P619	b4669
EG14475	ECK4485	yjeV	None	uncharacterized protein	226510989	C1P621	b4670
EG14476	ECK4486	ykgR	None	uncharacterized protein	226510926	C1P5Z8	b4671
EG14477	ECK4487	ymiB	None	uncharacterized protein	226510937	C1P5Z9	b4672
EG14478	ECK4488	ymjD'	None	pseudogene fragment, MhpC family	Null	P0CD93	b4673
EG14479	ECK4489	ynbG	None	uncharacterized protein	226510940	C1P600	b4674
EG14480	ECK4490	yoaJ	None	inner membrane-associated protein	226510950	C1P603	b4675
EG14481	ECK4491	yoaK	None	inner membrane-associated protein	226510949	C1P602	b4676
EG14482	ECK4492	yobI	None	uncharacterized protein	226510952	C1P604	b4677
EG14483	ECK4493	yoeI	None	uncharacterized protein	226510955	C1P606	b4678
EG14484	ECK4494	yohP	None	uncharacterized protein	226510959	C1P609	b4679
EG14485	ECK4495	ypdK	None	inner membrane protein	226510962	C1P610	b4680
EG14487	ECK4497	yqcG	None	membrane stress resistance protein	226510969	C1P612	b4682
EG14488	ECK4498	yqeL	None	uncharacterized protein	226510971	C1P613	b4683
EG14489	ECK4499	yqfG	None	uncharacterized protein	226510972	C1P614	b4684
EG14490	ECK4500	yrbN	None	uncharacterized protein	226510977	C1P618	b4685
EG14491	ECK4501	yshB	None	uncharacterized protein	226510988	C1P620	b4686
EG14492	ECK4504	ykgS'	None	pseudogene	Null	Null	b4688
EG14493	ECK4503	rzoQ	Rz1	putative Rz1-like lipoprotein, Qin prophage	226510942	C1P601	b4689
EG14494	ECK4502	shoB	ryfB, yphI	toxic membrane protein	226510966	C1P611	b4687
EG14495	ECK4507	oweE'	None	pseudogene, lambda replication protein O homolog; CPS-53/KpLE1 prophage	Null	Null	b4692
EG14496	ECK4508	ykgT'	yagP	pseudogene, MobA-related	Null	Null	b4695
EG14497	ECK4509	yrdF'	None	pseudogene, conserved protein	Null	Null	b4697
EG14498	ECK4513	mgtL	None	regulatory leader peptide for mgtA	308199521	E2JKY7	b4702
EG14499	ECK4515	pmrR	None	putative membrane-bound BasS regulator	345297179	G3MTW7	b4703
EG14500	ECK4517	mntS	rybA	Mn(2)-response protein, MntR-repressed	558095102	P0DKB3	b4705
EG14501	ECK4518	iroK	None	3-hydroxypropionic acid resistance peptide	545778207	U3PVA8	b4706
EG20005	ECK3735	oriC	None	Null	Null	Null	b4489
EG20044	ECK3513	dctA	out(S.t.)	C4-dicarboxylic acid, orotate and citrate transporter	; 1789947	P0A830	b3528
EG20050	ECK3684	dgoD	yidU	D-galactonate dehydratase	; 48994953	Q6BF17	b4478
EG20080	ECK2970	glcB	glc	malate synthase G	; 1789348	P37330	b2976
EG20091	ECK3598	gpsA	None	glycerol-3-phosphate dehydrogenase (NAD+)	; 1790037	P0A6S7	b3608
EG20098	ECK0124	hpt	None	hypoxanthine phosphoribosyltransferase	; 87081689	P0A9M2	b0125
EG20110	ECK3338	kefB	trkB	potassium:proton antiporter	; 1789749	P45522	b3350
EG20145	ECK3213	nanT	None	sialic acid transporter	; 87082231	P41036	b3224
EG20151	ECK0570	nfsB	dprA, nfnB, nfsI(S.t.), ntr	dihydropteridine reductase, NAD(P)H-dependent, oxygen-insensitive	; 1786792	P38489	b0578
EG20173	ECK2291	pta	None	phosphate acetyltransferase	; 1788635	P0A9M8	b2297
EG20205	ECK1976	shiA	yeeM	shikimate transporter	; 1788292	P76350	b1981
EG20227	ECK0411	thiL	None	thiamine monophosphate kinase	; 1786619	P0AGG0	b0417
EG20248	ECK4314	uxuB	None	D-mannonate oxidoreductase, NAD-dependent	; 1790779	P39160	b4323
EG20249	ECK4315	uxuR	None	fructuronate-inducible hexuronate regulon transcriptional repressor; autorepressor	; 1790780	P39161	b4324
EG20250	ECK2401	xapA	pndA	purine nucleoside phosphorylase 2; nicotinamide 1-beta-D-riboside synthase	; 1788746	P45563	b2407
EG20252	ECK3555	xylF	xylT	D-xylose transporter subunit	; 1789990	P37387	b3566
EG20253	ECK3558	xylR	None	xylose divergent operon transcriptional activator	; 1789993	P0ACI3	b3569
EG20254	ECK1289	sapA	None	antimicrobial peptide transport ABC transporter periplasmic binding protein	; 1787551	Q47622	b1294
EG20255	ECK1288	sapB	None	antimicrobial peptide transport ABC transporter permease	; 1787550	P0AGH3	b1293
EG20256	ECK1287	sapC	None	antimicrobial peptide transport ABC transporter permease	; 1787549	P0AGH5	b1292
EG20257	ECK2669	nrdE	None	ribonucleoside-diphosphate reductase 2, alpha subunit	; 1789030	P39452	b2675
EG20260	ECK1413	mokB	None	regulatory peptide	1787689	P76096	b1420
EG20263	ECK1057	flgA	flaU	assembly protein for flagellar basal-body periplasmic P ring	; 1787312	P75933	b1072
EG20264	ECK1064	flgH	flaY	flagellar protein of basal-body outer-membrane L ring	; 1787319	P0A6S0	b1079
EG20265	ECK1065	flgI	flaM	putative flagellar basal body protein	; 1787320	P0A6S3	b1080
EG20266	ECK1939	fliI	flaC	flagellum-specific ATP synthase	; 1788251	P52612	b1941
EG20267	ECK1940	fliJ	flaO	flagellar protein	; 1788252	P52613	b1942
EG20268	ECK1941	fliK	flaE	flagellar hook-length control protein	; 1788253	P52614	b1943
EG20273	ECK0344	mhpA	None	3-(3-hydroxyphenyl)propionate hydroxylase	; 1786543	P77397	b0347
EG20274	ECK0345	mhpB	None	2,3-dihydroxyphenylpropionate 1,2-dioxygenase	; 1786544	P0ABR9	b0348
EG20275	ECK0346	mhpC	None	2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase	; 87081721	P77044	b0349
EG20276	ECK0343	mhpR	None	mhp operon transcriptional activator	; 1786541	P77569	b0346
EG20283	ECK0541	rusA	rus, ybcP	DLP12 prophage; endonuclease RUS	; 1786762	P0AG74	b0550
EG30008	ECK3845	alaT	talA	Null	Null	Null	b3853
EG30009	ECK3263	alaU	talD	Null	Null	Null	b3276
EG30010	ECK0203	alaV	None	Null	Null	Null	b0203
EG30011	ECK2391	alaW	alaWalpha	Null	Null	Null	b2397
EG30012	ECK2390	alaX	alaWbeta	Null	Null	Null	b2396
EG30013	ECK2686	argQ	argVdelta	Null	Null	Null	b2691
EG30014	ECK0529	argU	dnaY, fimU(S.t.), pin	Null	Null	Null	b0536
EG30015	ECK2689	argV	argValpha	Null	Null	Null	b2694
EG30016	ECK2342	argW	None	Null	Null	Null	b2348
EG30017	ECK3789	argX	None	Null	Null	Null	b3796
EG30018	ECK2688	argY	argVbeta	Null	Null	Null	b2693
EG30019	ECK2687	argZ	argVgamma	Null	Null	Null	b2692
EG30020	ECK1973	asnT	None	Null	Null	Null	b1977
EG30021	ECK1981	asnU	None	Null	Null	Null	b1986
EG30022	ECK1984	asnV	None	Null	Null	Null	b1989
EG30023	ECK3754	aspT	tasC	Null	Null	Null	b3760
EG30024	ECK0206	aspU	None	Null	Null	Null	b0206
EG30025	ECK0216	aspV	None	Null	Null	Null	b0216
EG30026	ECK1909	cysT	None	Null	Null	Null	b1910
EG30027	ECK0449	ffs	None	Null	Null	Null	b0455
EG30028	ECK0659	glnU	glnUalpha, supB	Null	Null	Null	b0670
EG30029	ECK0656	glnV	glnValpha, Su2, suII, supE	Null	Null	Null	b0665
EG30030	ECK0658	glnW	glnUbeta	Null	Null	Null	b0668
EG30031	ECK0655	glnX	glnVbeta, supE	Null	Null	Null	b0664
EG30032	ECK3961	gltT	tgtB	Null	Null	Null	b3969
EG30033	ECK3751	gltU	tgtC	Null	Null	Null	b3757
EG30034	ECK4000	gltV	tgtE	Null	Null	Null	b4008
EG30035	ECK2588	gltW	None	Null	Null	Null	b2590
EG30036	ECK3969	glyT	sumA, sup15B, supA36	Null	Null	Null	b3978
EG30037	ECK2860	glyU	suA36, sufD, sumB, supT	Null	Null	Null	b2864
EG30038	ECK4159	glyV	glyValpha, ins, suA58, suA78	Null	Null	Null	b4163
EG30039	ECK1910	glyW	ins, mutC, suA58, suA78	Null	Null	Null	b1911
EG30040	ECK4160	glyX	glyVbeta, mutA	Null	Null	Null	b4164
EG30041	ECK4161	glyY	glyVgamma	Null	Null	Null	b4165
EG30042	ECK3790	hisR	None	Null	Null	Null	b3797
EG30043	ECK3844	ileT	tilA	Null	Null	Null	b3852
EG30044	ECK3264	ileU	tilD	Null	Null	Null	b3277
EG30045	ECK0202	ileV	None	Null	Null	Null	b0202
EG30046	ECK3059	ileX	None	Null	Null	Null	b3069
EG30047	ECK4360	leuP	leuVbeta	Null	Null	Null	b4369
EG30048	ECK4361	leuQ	leuVgamma	Null	Null	Null	b4370
EG30049	ECK3791	leuT	None	Null	Null	Null	b3798
EG30050	ECK3163	leuU	None	Null	Null	Null	b3174
EG30051	ECK4359	leuV	leuValpha	Null	Null	Null	b4368
EG30052	ECK0660	leuW	feeB	Null	Null	Null	b0672
EG30053	ECK4263	leuX	Su-6, supP	Null	Null	Null	b4270
EG30054	ECK1908	leuZ	None	Null	Null	Null	b1909
EG30055	ECK0732	lysT	lysTalpha, sua, supG, supL	Null	Null	Null	b0743
EG30056	ECK2398	lysV	supN	Null	Null	Null	b2404
EG30057	ECK0734	lysW	lysTbeta, su	Null	Null	Null	b0745
EG30058	ECK0661	metT	metTalpha	Null	Null	Null	b0673
EG30059	ECK0657	metU	metTbeta	Null	Null	Null	b0666
EG30060	ECK2812	metV	metX, metZbeta	Null	Null	Null	b2816
EG30061	ECK3160	metY	None	Null	Null	Null	b3171
EG30062	ECK2810	metZ	metZalpha	Null	Null	Null	b2814
EG30063	ECK2208	micF	IS113, stc	Null	Null	Null	b4439
EG30064	ECK4128	pheU	pheR, pheW	Null	Null	Null	b4134
EG30065	ECK2962	pheV	pheC	Null	Null	Null	b2967
EG30066	ECK3532	proK	proV	Null	Null	Null	b3545
EG30067	ECK2183	proL	proW	Null	Null	Null	b2189
EG30068	ECK3792	proM	proU	Null	Null	Null	b3799
EG30069	ECK3111	rnpB	None	Null	Null	Null	b3123
EG30070	ECK3847	rrfA	None	Null	Null	Null	b3855
EG30071	ECK3963	rrfB	None	Null	Null	Null	b3971
EG30072	ECK3753	rrfC	None	Null	Null	Null	b3759
EG30073	ECK3261	rrfD	None	Null	Null	Null	b3274
EG30074	ECK4002	rrfE	None	Null	Null	Null	b4010
EG30075	ECK2586	rrfG	None	Null	Null	Null	b2588
EG30076	ECK0205	rrfH	None	Null	Null	Null	b0205
EG30077	ECK3846	rrlA	None	Null	Null	Null	b3854
EG30078	ECK3962	rrlB	None	Null	Null	Null	b3970
EG30079	ECK3752	rrlC	None	Null	Null	Null	b3758
EG30080	ECK3262	rrlD	None	Null	Null	Null	b3275
EG30081	ECK4001	rrlE	None	Null	Null	Null	b4009
EG30082	ECK2587	rrlG	None	Null	Null	Null	b2589
EG30083	ECK0204	rrlH	None	Null	Null	Null	b0204
EG30084	ECK3843	rrsA	None	Null	Null	Null	b3851
EG30085	ECK3960	rrsB	None	Null	Null	Null	b3968
EG30086	ECK3750	rrsC	None	Null	Null	Null	b3756
EG30087	ECK3265	rrsD	None	Null	Null	Null	b3278
EG30088	ECK3999	rrsE	None	Null	Null	Null	b4007
EG30089	ECK2589	rrsG	None	Null	Null	Null	b2591
EG30090	ECK0201	rrsH	None	Null	Null	Null	b0201
EG30091	ECK3259	rrfF	rrfDbeta, rrvD	Null	Null	Null	b3272
EG30092	ECK3648	selC	fdhC	Null	Null	Null	b3658
EG30093	ECK0962	serT	divE	Null	Null	Null	b0971
EG30094	ECK1971	serU	ftsM, Su-1, su1, supD, supH	Null	Null	Null	b1975
EG30095	ECK2690	serV	supD	Null	Null	Null	b2695
EG30096	ECK0874	serW	None	Null	Null	Null	b0883
EG30097	ECK1018	serX	None	Null	Null	Null	b1032
EG30098	ECK3856	spf	IS197	Null	Null	Null	b3864
EG30099	ECK2906	ssrS	ssr, ssrI	Null	Null	Null	b2911
EG30100	ECK2617	ssrA	sipB	Null	Null	Null	b2621
EG30101	ECK3970	thrT	None	Null	Null	Null	b3979
EG30102	ECK3967	thrU	None	Null	Null	Null	b3976
EG30103	ECK3260	thrV	None	Null	Null	Null	b3273
EG30104	ECK0245	thrW	None	Null	Null	Null	b0244
EG30105	ECK3755	trpT	su7, su8, su9, supU, supV	Null	Null	Null	b3761
EG30106	ECK1226	tyrT	su(c), Su-3, Su-4, suIII, supC, supFsupO, tyrTalpha	Null	Null	Null	b1231
EG30107	ECK3968	tyrU	supM, supZ	Null	Null	Null	b3977
EG30108	ECK1225	tyrV	tyrTbeta	Null	Null	Null	b1230
EG30109	ECK0733	valT	None	Null	Null	Null	b0744
EG30110	ECK2395	valU	valUalpha	Null	Null	Null	b2401
EG30111	ECK1661	valV	None	Null	Null	Null	b1665
EG30112	ECK1662	valW	None	Null	Null	Null	b1666
EG30113	ECK2396	valX	valUbeta	Null	Null	Null	b2402
EG30114	ECK2397	valY	valUgamma	Null	Null	Null	b2403
EG31115	ECK1568	dicF	None	Null	Null	Null	b1574
EG31116	ECK3952	oxyS	None	Null	Null	Null	b4458
EG31117	ECK2811	metW	None	Null	Null	Null	b2815
EG31118	ECK1952	dsrA	IS095	Null	Null	Null	b1954
EG31119	ECK2787	csrB	None	Null	Null	Null	b4408
EG31120	ECK1979	asnW	None	Null	Null	Null	b1984
EG31121	ECK2648	ileY	None	Null	Null	Null	b2652
EG31122	ECK0738	lysQ	None	Null	Null	Null	b0749
EG31123	ECK0736	lysY	None	Null	Null	Null	b0747
EG31124	ECK0737	lysZ	None	Null	Null	Null	b0748
EG31125	ECK0735	valZ	None	Null	Null	Null	b0746
EG31127	ECK1414	sokB	None	Null	Null	Null	b4429
EG31128	ECK0019	sokC	sof	Null	Null	Null	b4413
EG31129	ECK2804	gcvB	IS145, psrA11	Null	Null	Null	b4443
EG31130	ECK1686	rprA	IS083, psrA5	Null	Null	Null	b4431
EG31131	ECK1223	rttR	rtT, rtV1	Null	Null	Null	b4425
EG31133	ECK3426	ryhB	IS176, psrA18, sraI	Null	Null	Null	b4451
EG31134	ECK3858	csrC	IS198, psrA21, ryiB, sraK, tpk2	Null	Null	Null	b4457
EG31135	ECK0167	tff	t44	Null	Null	Null	b4414
EG31137	ECK0837	rybB	p25	Null	Null	Null	b4417
EG31138	ECK1073	psrD	pke20, psrA4, sraB	Null	Null	Null	b4418
EG31139	ECK1205	rdlA	None	Null	Null	Null	b4420
EG31140	ECK1207	rdlB	None	Null	Null	Null	b4422
EG31141	ECK1209	rdlC	None	Null	Null	Null	b4424
EG31142	ECK3525	rdlD	None	Null	Null	Null	b4454
EG31143	ECK1336	mcaS	IS061, isrA	Null	Null	Null	b4426
EG31144	ECK1373	micC	IS063, tke8	Null	Null	Null	b4427
EG31145	ECK1681	rydB	IS082, tpe7	Null	Null	Null	b4430
EG31146	ECK1838	ryeA	IS091, psrA8, sraC, tpke79	Null	Null	Null	b4432
EG31147	ECK1839	sdsR	ryeB, tpke79	Null	Null	Null	b4433
EG31149	ECK0071	sgrS	ryaA	Null	Null	Null	b4577
EG31150	ECK1992	isrC	IS102	Null	Null	Null	b4435
EG31151	ECK2068	sibA	QUAD1a, ryeC, tp11	Null	Null	Null	b4436
EG31152	ECK2069	sibB	QUAD1b, ryeD, tpe60	Null	Null	Null	b4437
EG31153	ECK2078	cyaR	ryeE	Null	Null	Null	b4438
EG31154	ECK2518	ryfA	PAIR3b, tp1	Null	Null	Null	b4440
EG31155	ECK2554	glmY	sroF, tke1	Null	Null	Null	b4441
EG31156	ECK2682	micA	psrA10, sraD	Null	Null	Null	b4442
EG31157	ECK2833	omrA	PAIR2a, psrA12, rygA, sraE, t59	Null	Null	Null	b4444
EG31158	ECK2834	omrB	PAIR2b, rygB, t59	Null	Null	Null	b4445
EG31159	ECK2908	sibC	QUAD1c, rygC, t27	Null	Null	Null	b4446
EG31160	ECK3041	sibD	C0730, IS156, QUAD1d, rygD, tp8	Null	Null	Null	b4447
EG31162	ECK3153	psrO	p3, psrA15, sraG	Null	Null	Null	b4449
EG31163	ECK3199	arcZ	psrA16, ryhA, sraH	Null	Null	Null	b4450
EG31164	ECK3500	gadY	IS183	Null	Null	Null	b4452
EG31165	ECK3795	glmZ	k19, psrA20, ryiA, sraJ	Null	Null	Null	b4456
EG31166	ECK4056	ryjA	sraL	Null	Null	Null	b4459
EG31167	ECK4425	istR	psr19, psrA19	Null	Null	Null	b4616
EG31168	ECK4407	rydC	IS067	Null	Null	Null	b4597
EG31169	ECK4420	sibE	QUAD1e, rygE	Null	Null	Null	b4611
EG31170	ECK4412	rseX	IS96	Null	Null	Null	b4603
EG31171	ECK4462	ptwF'	None	Null	Null	Null	b4629
EG31172	ECK4463	pauD'	None	Null	Null	Null	b4635
EG31173	ECK4464	pawZ'	None	Null	Null	Null	b4643
EG31174	ECK4465	psaA'	None	Null	Null	Null	b4645
EG31175	ECK4396	chiX	er13, micM, rybC, sroB	Null	Null	Null	b4585
EG31176	ECK4423	sokA'	None	Null	Null	Null	b4614
EG31178	ECK4417	ohsC	ryfC	Null	Null	Null	b4608
EG31179	ECK4418	ryfD	None	Null	Null	Null	b4609
EG31180	ECK4432	symR	ryjC	Null	Null	Null	b4625
EG31181	ECK4431	ryjB	None	Null	Null	Null	b4624
EG31182	ECK4505	sroH	IS206	Null	Null	Null	b4691
EG31183	ECK4506	eyeA	I001	Null	Null	Null	b4690
EG31184	ECK4510	mgrR	None	Null	Null	Null	b4698
EG31185	ECK4511	fnrS	rydA	Null	Null	Null	b4699
EG31186	ECK4512	sokE	None	Null	Null	Null	b4700
EG31187	ECK4514	sokX	None	Null	Null	Null	b4701
EG31188	ECK4516	arrS	None	Null	Null	Null	b4704
EG31189	ECK4569	agrA	None	Null	Null	Null	b4712
EG31190	ECK4570	agrB	None	Null	Null	Null	b4713
EG31191	ECK4519	esrE	None	Null	Null	Null	b4707
EG31192	ECK4571	ralA	rcbA	Null	Null	Null	b4714
EG40001	ECK0023	insA1	None	IS1 repressor TnpA	1786204	P0CF07	b0022
EG40002	ECK0022	insB1	None	IS1 transposase B	1786203	P0CF25	b0021
EG40003	ECK0357	insC1	None	IS2 repressor TnpA	1786557	P0CF40	b0360
EG40004	ECK0358	insD1	None	IS2 transposase TnpB	1786558	P0CF53	b0361
EG40005	ECK0298	insE1	None	IS3 transposase A	1786489	P0CF66	b0298
EG40006	ECK0299	insF1	None	IS3 transposase B	1786490	P0CF79	b0299
